Timestamp,Keypress,State,Color
15:45:52:971,0,System Shut Down,Black
15:45:52:972,0,System Shut Down,Black
15:45:52:975,0,System Shut Down,Black
15:45:52:975,0,System Shut Down,Black
15:45:52:976,0,System Shut Down,Black
15:45:52:977,0,System Shut Down,Black
15:45:52:980,0,System Shut Down,Black
15:45:52:980,0,System Shut Down,Black
15:45:52:981,0,System Shut Down,Black
15:45:52:981,0,System Shut Down,Black
15:45:52:984,0,System Shut Down,Black
15:45:52:985,0,System Shut Down,Black
15:45:52:985,0,System Shut Down,Black
15:45:52:986,0,System Shut Down,Black
15:45:52:989,0,System Shut Down,Black
15:45:52:989,0,System Shut Down,Black
15:45:52:990,0,System Shut Down,Black
15:45:52:990,0,System Shut Down,Black
15:45:52:994,0,System Shut Down,Black
15:45:52:994,0,System Shut Down,Black
15:45:52:995,0,System Shut Down,Black
15:45:52:996,0,System Shut Down,Black
15:45:52:998,0,System Shut Down,Black
15:45:52:999,0,System Shut Down,Black
15:45:52:999,0,System Shut Down,Black
15:45:53:000,0,System Shut Down,Black
15:45:53:002,0,System Shut Down,Black
15:45:53:003,0,System Shut Down,Black
15:45:53:004,0,System Shut Down,Black
15:45:53:004,0,System Shut Down,Black
15:45:53:007,0,System Shut Down,Black
15:45:53:008,0,System Shut Down,Black
15:45:53:008,0,System Shut Down,Black
15:45:53:009,0,System Shut Down,Black
15:45:53:012,0,System Shut Down,Black
15:45:53:013,0,System Shut Down,Black
15:45:53:013,0,System Shut Down,Black
15:45:53:014,0,System Shut Down,Black
15:45:53:017,0,System Shut Down,Black
15:45:53:017,0,System Shut Down,Black
15:45:53:017,0,System Shut Down,Black
15:45:53:018,0,System Shut Down,Black
15:45:53:021,0,System Shut Down,Black
15:45:53:021,0,System Shut Down,Black
15:45:53:022,0,System Shut Down,Black
15:45:53:022,0,System Shut Down,Black
15:45:53:025,0,System Shut Down,Black
15:45:53:026,0,System Shut Down,Black
15:45:53:027,0,System Shut Down,Black
15:45:53:027,0,System Shut Down,Black
15:45:53:030,0,System Shut Down,Black
15:45:53:031,0,System Shut Down,Black
15:45:53:031,0,System Shut Down,Black
15:45:53:032,0,System Shut Down,Black
15:45:53:034,0,System Shut Down,Black
15:45:53:035,0,System Shut Down,Black
15:45:53:036,0,System Shut Down,Black
15:45:53:036,0,System Shut Down,Black
15:45:53:039,0,System Shut Down,Black
15:45:53:040,0,System Shut Down,Black
15:45:53:040,0,System Shut Down,Black
15:45:53:041,0,System Shut Down,Black
15:45:53:044,0,System Shut Down,Black
15:45:53:045,0,System Shut Down,Black
15:45:53:045,0,System Shut Down,Black
15:45:53:046,0,System Shut Down,Black
15:45:53:048,0,System Shut Down,Black
15:45:53:049,0,System Shut Down,Black
